Potential ID,FreshDesk Ticket Number,Training Name,Number of Users,Client,Month,Year,Received On,Private Cloud ,Cloud Type,TP Lab Type,Lab Name,Requester,Lab Status,Start Date,End Date,Input Cost Per User,Selling Cost Per User,Total Amount,Line of Business,Invoice Details
PF-0108718,,ADM,1,Cognizant,Aug,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,18-08-2025,01-09-2025,,,3860.7,Standalone,
PF-0108718,,L&D,1,Cognizant,Aug,2025,,,AZURE,,L&D,Mariya(Cognizant),Delivery Completed,18-08-2025,16-09-2025,,,6430,Standalone,
PF-0108488,,AZ-400,20,Socgen,Aug,2025,,,AZURE,,AZ-400,Roshan,Delivery Completed,18-08-2025,22-08-2025,,,85000,Standalone,
PF100619,,FSE-Azure,2,Cognizant-FSE,Aug,2025,,,AZURE,,FSE-Azure,Goutham,Delivery Completed,21-08-2025,20-09-2025,,,17000,Standalone,
PF-0102955,,Azure-Lab,1,IBM,Aug,2025,,,AZURE,,Azure-Lab,Lokesh,Delivery Completed,25-08-2025,22-11-2025,,,820,Standalone,
PF-0108657,,CDC-Azure,265,Wipro,Aug,2025,,,AZURE,,CDC-Azure,Sanjeed Nawaz,Delivery Completed,29-08-2025,30-08-2025,,,115275,Standalone,
PF-0109091,,Azure-Lab,1,Cognizant,Sep,2025,,,AZURE,,Azure-Lab,Mariya(Cognizant),Delivery Completed,01-09-2025,30-09-2025,,,7406.9,Standalone,
PF-0107297,,Data Engineer,25,Amdocs,Sep,2025,,,AZURE,,Data Engineer,Muzammil,Delivery Completed,01-09-2025,16-09-2025,,,167640,VILT,
PF-0109091,,Azure-ADM,26,Cognizant,Sep,2025,,,AZURE,,Azure-ADM,Mariya(Cognizant),Delivery Completed,02-09-2025,01-10-2025,,,220220,Standalone,
PF-0109091,,Azure-MDU,5,Cognizant,Sep,2025,,,AZURE,,Azure-MDU,Mariya(Cognizant),Delivery Completed,02-09-2025,31-10-2025,,,76134.5,Standalone,
PF-0109091,,Azure-MDU,3,Cognizant,Sep,2025,,,AZURE,,Azure-MDU,Mariya(Cognizant),Delivery Completed,02-09-2025,31-10-2025,,,37620,Standalone,
PF-0108566,,AVD,11,CGI,Sep,2025,,,AZURE,,AVD,Felix,Delivery Completed,02-09-2025,10-09-2025,,,66000,VILT,
PF-0107437,,Analytics Skills,26,Straive,Sep,2025,,,AZURE,,Analytics Skills,Ayman Rashad,Delivery Completed,08-09-2025,10-10-2025,,,34632,VILT,
PF-0108892,,Data Engineering,16,Hexaware,Sep,2025,,,AZURE,,Data Engineering,Athual,,05-09-2025,05-09-2026,,,160000,Standalone,
PF-0109603 ,,Azure-Lab,11,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,04-09-2025,10-09-2025,,,10773,Standalone,
PF-0109091,,HPC,50,Cognizant,Sep,2025,,,AZURE,,HPC,Mariya(Cognizant),Delivery Completed,12-09-2025,26-09-2025,,,220000,Standalone,
PF-0108591,,Python-Azure,15,Bosch,Sep,2025,,,AZURE,,Python-Azure,Aarti,Delivery Completed,12-09-2025,16-09-2025,,,30000,Standalone,
PF-0109091,,MDU,6,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,75240,Standalone,
PF-0109091,,MDU,4,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,60907.6,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109091,,MDU,1,Cognizant,Sep,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,16-09-2025,14-11-2025,,,15226.9,Standalone,
PF-0109603,,Azure-Lab,1,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,16-09-2025,27-09-2025,,,852,Standalone,
PF-0109603,,Azure-Lab,43,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,18-09-2025,03-10-2025,,,26665,Standalone,
PF-0109369,,OpenAI,1,Mphasis,Sep,2025,,,AZURE,,OpenAI,Bhargavi,Delivery Completed,19-09-2025,18-10-2025,,,1763,Standalone,
PF-0109091,,QEA,16,Cognizant,Sep,2025,,,AZURE,,QEA,Mariya(Cognizant),Delivery Completed,22-09-2025,06-10-2025,,,24800,Standalone,
PF-0109091,,ADM,1,Cognizant,Sep,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,24-09-2025,22-11-2025,,,21042,Standalone,
PF100619,,Azure-FSE,1,Cognizant-FSE,Sep,2025,,,AZURE,,Azure-FSE,Goutham,Delivery Completed,26-09-2025,24-12-2025,,,8500,Standalone,
PF-0109091,,ADM,28,Cognizant,Sep,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,30-09-2025,14-10-2025,,,123200,Standalone,
PF-0109455,,Data Engineering,50,Hexaware,Sep,2025,,,AZURE,,Data Engineering,Athual,,30-09-2025,29-10-2026,,,425000,Standalone,
PF-0109603,,Azure,1,Wipro,Sep,2025,,,AZURE,,Azure,Soumya Dutta(Wipro),Delivery Completed,29-09-2025,30-09-2025,,,536,Standalone,
PF-0109241,,AWS migration to MS Azure,31,Cognizant,Sep,2025,,,AZURE,,AWS migration to MS Azure,Goutham,Delivery Completed,22-09-2025,10-10-2025,,,214140,VILT,
PF-0109603,,Azure-Lab,5,Wipro,Sep,2025,,,AZURE,,Azure-Lab,Soumya Dutta(Wipro),Delivery Completed,19-09-2025,03-10-2025,,,2990,Standalone,
PF-0109495,,MDU,4,Cognizant,Oct,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,10-01-2025,11-29-25,12540,12540,50160,Standalone,
PF-0109495,,MDU,2,Cognizant,Oct,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,10-01-2025,11-29-25,15227,15227,30454,Standalone,
PF-0108861,,Infra DevOps & AI,32,BirlaSoft,Oct,2025,,,AZURE,,Infra DevOps & AI,Mani,Delivery Completed,10-06-2025,11-18-25,1760,2112,67584,VILT,
PF-0109495,,IoT,32,Cognizant,Oct,2025,,,AZURE,,IoT,Mariya(Cognizant),Delivery Completed,10-14-25,10-28-25,1550,1550,49600,Standalone,
PF-0109580,,Data Engineering,50,Hexaware,Oct,2025,,,AZURE,,Data Engineering,Athul,,10-14-25,10-05-2026,5000,10000,500000,Standalone,
PF-0109495,,ADM,1,Cognizant,Oct,2025,,,AZURE,,ADM,Mariya(Cognizant),Delivery Completed,10-14-25,11-11-2025,7480,7480,7480,Standalone,
PF-0109669,,Azure Openai,1,Mphasis,Oct,2025,,,AZURE,,Azure Openai,Bhargavi,Delivery Completed,10-27-25,11-25-25,1764,1764,1764,Standalone,
PF-0109390,,AZ-500,15,Socgen,Nov,2025,,,AZURE,,AZ-500,Roshan,Delivery Completed,11-03-2025,11-07-2025,1650,4250,59500,VILT,
PF-0109761,,MDU,2,Cognizant,Nov,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,11-04-2025,12-03-2025,6430,6430,12860,Standalone,
PF-0109761,,MDU,3,Cognizant,Nov,2025,,,AZURE,,MDU,Mariya(Cognizant),Delivery Completed,11-04-2025,12-03-2025,7807,7807,23421,Standalone,
PF-0109761,,Flowsource,1,Cognizant,Nov,2025,,,AZURE,,Flowsource,Mariya(Cognizant),Delivery Completed,11-06-2025,12-06-2025,8470,8470,8470,Standalone,
PF-0108908,,Devops,21,Socgen,Nov,2025,,,AZURE,,Devops,Roshan,Delivery Completed,11-10-2025,11-14-25,4416,5299,105980,VILT,
PF-0109495,,QEA,32,Cognizant,Nov,2025,,,AZURE,,QEA,Mariya(Cognizant),Delivery Completed,11-11-2025,11-24-25,550,550,17600,Standalone,
PF-0109679,,AI,1,OC Tanner,Nov,2025,,,AZURE,,AI,Rakshith,Delivery Completed,11-14-25,11-15-25,440,440,440,VILT,
PF-0102955,,Azure Labs,1,IBM,Nov,2025,,,AZURE,,Azure Labs,Lokesh,,11-14-25,02-11-2026,820,820,820,Standalone,
PF-0109406,,System Design,27,Bosch,Nov,2025,,,AZURE,,System Design,Maithili,Delivery Completed,11-17-25,12-04-2025,7089,10000,270000,VILT,
PF-010937,,DevOps & AI,46,BirlaSoft,Nov,2025,,,AZURE,,DevOps & AI,Mani,,11-24-25,02-24-26,1760,2112,107712,VILT,
PF-0109587,,AI Testing for the Developers,44,Hexaware,Nov,2025,,,AZURE,,AI Testing for the Developers,Archana,,11-26-25,01-04-2026,6600,11500,494500,VILT,
PF - 0109825,,Node JS and  Typescript,1,Cognizant,Nov,2025,,,AZURE,,Node JS and  Typescript,Goutham,Delivery Completed,11-21-25,12-02-2025,1700,1700,1700,Standalone,
PF-0108215,,Azure OpenAI,1,Infosys,Dec,2025,,,AZURE,,Azure OpenAI,Maithili,,12-01-2025,02-06-2026,,,9110,VILT,
PF-0109761,,QEA,32,Cognizant,Dec,2025,,,AZURE,,QEA,Mariya(Cognizant),Delivery Completed,12-01-2025,12-15-25,,,49600,Standalone,
PF-0109389,,AZ-204,26,Socgen,Dec,2025,,,AZURE,,AZ-204,Roshan,Delivery Completed,12-01-2025,12-05-2025,,,106250,VILT,
PF-0108725,,MULTIPLE,20,Straive,Dec,2025,,,AZURE,,MULTIPLE,Ayman,Delivery Completed,12-04-2025,12-06-2025,,,31680,VILT,
PF-0109761,,Flowsource,1,Cognizant,Dec,2025,,,AZURE,,Flowsource,Samson(Cognizant),,12-24-25,01-23-26,,,16600,Standalone,
PF-0109761,,AIA,64,Cognizant,Dec,2025,,,AZURE,,AIA,Mariya(Cognizant),,12-23-25,01-21-26,,,542080,Standalone,
PF-0105272,,GCP Lab,12,PWC,April,2025,,,GCP,,GCP Lab,Alex(PWC),Delivery Completed,04-03-2025,06-01-2025,1704,1704,20448,Standalone,
PF-0107574,,EAS,3,Cognizant,April,2025,,,GCP,,EAS,Mariya(Cognizant),Delivery Completed,4/18/2025,5/18/2025,6430,6430,19290,Standalone,
PF-0107574,,EAS,2,Cognizant,April,2025,,,GCP,,EAS,Mariya(Cognizant),Delivery Completed,4/18/2025,5/18/2025,6430,6430,12860,Standalone,
PF-0107574,,EAS,1,Cognizant,April,2025,,,GCP,,EAS,Mariya(Cognizant),Delivery Completed,4/18/2025,5/18/2025,7847,7847,7846.65,Standalone,
PF-0107574,,AIA,23,Cognizant,April,2025,,,GCP,,AIA,Geetika(Cognizant),Delivery Completed,4/22/2025,05-06-2025,4400,4400,101200,Standalone,
PF-0107594,,Moment,6,Cognizant,May,2025,,,GCP,,Moment,Mariya(Cognizant),Delivery Completed,5/26/2025,6/25/2025,6430,6430,38580,Standalone,
PF-0107332,,AWS-Lab,1,PWC,May,2025,,,GCP,,AWS-Lab,Alex(PWC),Delivery Completed,5/27/2025,06-09-2025,1707,1707,1707,Standalone,
PF-0107594,,AIA,12,Cognizant,June,2025,,,GCP,,AIA,Geetika(Cognizant),Delivery Completed,06-02-2025,6/16/2025,4400,4400,52800,Standalone,
PF-0107594,,CBD DATA,2,Cognizant,June,2025,,,GCP,,CBD DATA,Geetika(Cognizant),Delivery Completed,06-02-2025,6/16/2025,4400,4400,8800,Standalone,
PF-0107477,,GCP,29,Rakuten,June,2025,,,GCP,,GCP,Bhargavi,Delivery Completed,06-09-2025,07-03-2025,4279,4920,142680,Standalone,
PF-0107332,,GCP,1,PWC,June,2025,,,GCP,,GCP,Alex,Delivery Completed,06-10-2025,09-10-2025,8500,8500,8500,Standalone,
PF-0107594,,GCP Lab,6,Cognizant,June,2025,,,GCP,,GCP Lab,Mariya,Delivery Completed,6/24/2025,7/23/2025,6430,6430,38580,Standalone,
PF-0107332,,GCP,1,PWC,July,2025,,,GCP,,GCP,Alex(PWC),Delivery Completed,07-07-2025,31-08-2025,,,8586,Standalone,
PF-0107332,,GCP,43,PWC,July,2025,,,GCP,,GCP,Alex(PWC),Delivery Completed,08-07-2025,21-07-2025,,,73831,Standalone,
PF-0108717,,GCP-Moment,6,Cognizant,July ,2025,,,GCP,,GCP-Moment,Mariya(Cognizant),Delivery Completed,24-07-2025,22-08-2025,,,38580,Standalone,
PF-0108717,,GCP-Gmail IDs,6,Cognizant,July ,2025,,,GCP-Gmail IDs,,GCP-Gmail IDs,Mariya(Cognizant),Delivery Completed,24-07-2025,22-08-2025,,,4500,Standalone,
PF-0108487,,Apigee ,1,PWC,Aug,2025,,,GCP,,Apigee ,Alex(PWC),Delivery Completed,07-08-2025,20-08-2025,,,1720,Standalone,
PF-0108718,,GCP-EAS,6,Cognizant,Aug,2025,,,GCP,,GCP-EAS,Mariya(Cognizant),Delivery Completed,25-08-2025,23-09-2025,,,38580,Standalone,
PF-0108718,,GCP-EAS,6,Cognizant,Aug,2025,,,GCP-Gmail IDs,,GCP-EAS,Mariya(Cognizant),Delivery Completed,25-08-2025,23-09-2025,,,4500,Standalone,
PF-0109091,,QEA,6,Cognizant,Sep,2025,,,GCP,,QEA,Mariya(Cognizant),Delivery Completed,24-09-2025,23-10-2025,,,38580,Standalone,
PF-0108487,,GCP-Lab,1,PWC,Sep,2025,,,GCP,,GCP-Lab,Alex(PWC),Delivery Completed,24-09-2025,23-12-2025,,,8500,Standalone,
PF-0109091,,QEA,6,Cognizant,Sep,2025,,,GCP,,QEA,Mariya(Cognizant),Delivery Completed,24-09-2025,23-10-2025,,,4500,Standalone,
PF-0109255,,AWS migration to GCP,30,Cognizant,Oct,2025,,,GCP,,AWS migration to GCP,Goutham,Delivery Completed,10-13-25,10-17-25,4300,5033,151000,VILT,
PF-0109495,,QEA,16,Cognizant,Oct,2025,,,GCP,,QEA,Mariya(Cognizant),Delivery Completed,10-13-25,10-27-25,1550,1550,24800,Standalone,
PF-0109495,,QEA,16,Cognizant,Oct,2025,,,GCP Gmail-IDs,,QEA,Mariya(Cognizant),Delivery Completed,10-13-25,10-27-25,750,750,12000,Standalone,
PF-0109495,,IoT,1,Cognizant,Oct,2025,,,GCP,,IoT,Mariya(Cognizant),Delivery Completed,10-13-25,11-11-2025,8470,8470,8470,Standalone,
PF-0109495,,IoT,1,Cognizant,Oct,2025,,,GCP Gmail-IDs,,IoT,Mariya(Cognizant),Delivery Completed,10-13-25,11-11-2025,750,750,750,Standalone,
PF-0109495,,Moment,6,Cognizant,Oct,2025,,,GCP,,Moment,Mariya(Cognizant),Delivery Completed,10-24-25,11-22-25,6430,6430,38580,Standalone,
PF-0109495,,Moment,6,Cognizant,Oct,2025,,,GCP Gmail-IDs,,Moment,Mariya(Cognizant),Delivery Completed,10-24-25,11-22-25,750,750,4500,Standalone,
PF-0109500,,Vertex AI into Finance,31,EY,Oct,2025,,,GCP,,Vertex AI into Finance,Muzammil,Delivery Completed,11-03-2025,11-20-25,7600,10524,315720,VILT,
PF-0109500,,Vertex AI into Finance,31,EY,Oct,2025,,,GCP Gmail-IDs,,Vertex AI into Finance,Muzammil,Delivery Completed,11-03-2025,11-20-25,750,750,23250,VILT,
